HolidayPlace,City,Countryside,Seaside,Riverside,Mountains,Hotel,Hostel,Camping,Train,Train + Bike,Bus,Explore Nature,Food,Culture,Party,Relaxing,Active Holiday,Picture,Description,Link
"Yangon City, Myanmar",1,0,0,1,0,1,1,0,1,0,1,0,1,1,1,1,1,https://www.eyeonasia.gov.sg/images/asean-countries/Yangon%20snapshot%20iso.jpg,"Yangon (dahulu Rangoon) adalah kota terbesar Myanmar dan bekas pusat pemerintahan. Selain menjadi pusat keuangan negara, Yangon juga merupakan pusat perdagangan dan logistik dengan bandara dan pelabuhan laut utama yang dilayani oleh jaringan jalan dan rel.",https://www.eyeonasia.gov.sg/asean-countries/know/overview-of-asean-countries/yangon-a-city-profile/
"Kinabalu National Park, Malaysia",0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,https://a.travel-assets.com/findyours-php/viewfinder/images/res70/502000/502881-mount-kinabalu-national-park.jpg,"Taman Nasional Kinabalu adalah situs Warisan Dunia Malaysia pertama yang terletak di pantai barat Sabah, Malaysia Timur, di Pulau Borneo. Taman nasional ini mengelilingi Gunung Kinabalu, gunung tertinggi di Sabah, yang menawarkan pengalaman alam yang menakjubkan dengan flora dan fauna endemik.",https://www.expedia.co.id/Taman-Nasional-Gunung-Kinabalu-Sabah.d6346254.Tamasya
"Gunung Mulu National Park, Malaysia",0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,https://cdn.idntimes.com/content-images/community/2023/07/mulu-pinnacles-4c4e0935346233c8fec14261a45ff371-56793d98dcdbe5f27cf154dffb1b7077_600x400.jpg,"Taman Nasional Gunung Mulu dekat Miri, Sarawak, Malaysia, adalah Situs Warisan Dunia UNESCO yang terdiri dari gua-gua spektakuler dan formasi karst unik. Taman nasional ini terkenal dengan kehidupan gua yang menakjubkan.",https://www.expedia.co.id/Taman-Nasional-Gunung-Mulu-Sarawak.d6131379.Tamasya
"Nha Trang, Vietnam",1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSReN2dRebtP5IbKGQF3eo4zFuaVbTv1CLL7YAIDlnWIg&s,"Nha Trang adalah kota pantai populer dengan pantai-pantai indah, menyelam yang hebat, dan pulau-pulau kecil yang menakjubkan.",https://www.tripadvisor.co.id/Tourism-g293928-Nha_Trang_Khanh_Hoa_Province-Vacations.html
"Krabi, Thailand",0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS_Wzz3-gD7QSDSns3KqPaHYB6Jvrb1297Tf6XQN9WIlA&s,"Krabi adalah tujuan liburan populer dengan karst kapur menjulang tinggi, pantai-pantai indah, dan kehidupan malam yang ramai.",https://www.yuktravel.com/trip-ideas-di-thailand/yuk-liburan-seru-di-krabi-thailand?id=1006798
"Phuket City, Thailand",1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,https://cdn.idntimes.com/content-images/community/2020/01/images-11-3a3e5cef008c84317c9d1a5a2655d237_600x400.jpeg,"Kota Phuket adalah Kota yang ramai dengan kehidupan malam yang sibuk, pasar tradisional, dan pantai-pantai indah.",https://www.klook.com/id/experiences/list/phuket-old-town/p50193927/
"Phong Nha-Ke Bang National Park, Vietnam",0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,1,https://bafageh.com/uploads/cms/images/1686126599_Screenshot%202023-06-07%20152633.png,"Taman Nasional Phong Nha-Ke Bang merupakan rumah bagi gua-gua karst terbesar di dunia dengan stalaktit dan stalagmit yang mengesankan, cocok untuk wisata alam yang menantang.",https://www.klook.com/id/activity/77653-phong-nha-ke-bang-national-park/
"Danang City, Vietnam",1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,https://media-cdn.tripadvisor.com/media/photo-s/1c/79/1d/15/danang-city-by-night.jpg,"Kota Danang adalah kota pesisir yang berkembang dengan pantai-pantai indah, jembatan emas, dan patung-patung megah.",https://www.klook.com/id/city/74-da-nang-things-to-do/
"Tioman Island, Malaysia",0,1,1,0,1,1,1,1,0,0,0,1,1,0,0,1,1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS0oInKpOmVFq-qkxg0SVqmdnyoKKjOS_rk3LNYDTSxFA&s,"Pulau Pemanggil, permata tersembunyi di perairan Johor, Malaysia, menawarkan pengalaman liburan eksotis dan menyenangkan bagi pengunjung yang mencari ketenangan dan petualangan di alam. Dengan pantai-pantai yang indah, terumbu karang spektakuler, dan atmosfer yang tenang.",https://www.tioman.org/
"Pemanggil Island, Malaysia",0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,1,1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQhlQCIOSKPJKHC9oakDICztPMAMD3yHg7z7ycZ-CgYyQ&s,Mandalay adalah kota terbesar kedua di Myanmar dan menampilkan kemegahan tradisional yang dipenuhi dengan pagoda-pagoda dan biara-biara. Setiap sudut kota ini dipenuhi dengan cerita sejarah yang memukau.,https://bafageh.com/blog/en/Menemukan-Keindahan-Tersembunyi-di-Pulau-Pemanggil-Johor
"Mandalay, Myanmar",1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,https://awsimages.detik.net.id/community/media/visual/2019/01/04/810b3507-61d6-435e-844b-7f25d612174c_169.jpeg?w=780&q=90,"Kepulauan Raja Ampat, terletak di Provinsi Papua Barat, Indonesia, adalah surga tersembunyi yang menakjubkan di tengah Samudra Pasifik. Dengan lebih dari 1.500 pulau kecil tersebar di perairan biru kristal, Raja Ampat menawarkan keindahan alam yang tak tertandingi.",https://thesologlobetrotter.com/places-to-visit-in-mandalay-guide/
"Kepulauan Raja Ampat, Indonesia",0,1,1,0,1,1,1,0,0,0,0,1,0,1,0,1,1,https://cdn.generationvoyage.fr/2023/05/visiter-raja-ampat-indonesie.jpg,"Bandar Seri Begawan, ibu kota Brunei Darussalam, adalah perpaduan memukau dari kemegahan tradisional dan modernitas cemerlang. Dengan cakrawala yang dipenuhi dengan menara masjid megah dan istana kerajaan yang megah, kota ini menawarkan pesona yang tak tertandingi.",https://www.wanderlustchloe.com/raja-ampat-indonesia-travel-guide-tips/
"Bandar Seri Begawan, Burnei",1,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,1,"https://www.tripsavvy.com/thmb/eS3t9lRs0T1pF-FHP72AlRMq4EU=/5512x3963/filters:fill(auto,1)/Brunei4-a5d56a6f8f64422a9d24073fcbd7fd30.jpg","Kota Batu Satu, juga dikenal sebagai Kota Batu Satu, adalah salah satu dari dua kota yang membentuk Bandar Seri Begawan, ibu kota Brunei Darussalam. Meskipun lebih kecil dari Bandar Seri Begawan, Kota Batu Satu memiliki daya tariknya sendiri yang menarik.",https://southeastasiabackpacker.com/destinations/brunei/bandar-seri-begawan/
"Kota Batu, Brunei",1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,https://media-cdn.tripadvisor.com/media/photo-s/0e/dc/eb/64/a-lovely-afternoon.jpg,"Phnom Penh memancarkan pesona warisan sejarahnya melalui arsitektur kolonial megah, candi-candi bersejarah, dan museum-museum yang menarik. Kota ini adalah jendela ke masa lalu Kamboja yang penuh dengan cerita kejayaan.",https://trvlguides.com/articles/kota-batu
"Phnom Penh, Kamboja",1,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,https://cdn.audleytravel.com/3987/2847/79/15978429-the-silver-pagoda-phnom-penh.jpg,"Pulau Tioman adalah sebuah pulau tropis yang terletak di lepas pantai timur Malaysia. Terkenal dengan hutan hujannya yang lebat, air lautnya yang jernih, dan terumbu karang yang indah untuk menyelam. Pulau ini juga memiliki pantai pasir putih yang memikat serta desa-desa nelayan yang tradisional.",https://www.britannica.com/place/Phnom-Penh
"Hoi An, Vietnam",1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1,1,https://www.uncovervietnam.com/wp-content/uploads/2017/11/Hoi-An-Ancient-Town-at-Night.jpg,"Hoi An adalah kota bersejarah, berwarna-warni, dan menawan di Pantai Tengah Vietnam.",https://vietnam.travel/things-to-do/top-things-to-do-hoi-an
"Penang, Malaysia",1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,https://1.bp.blogspot.com/-6epfb7ipWog/WbTFoajHrSI/AAAAAAAADcM/Ky33ra8e_yIYACp7VotEF5jkNczzd7_YgCLcBGAs/s1600/skyline-penang-night.jpg,"Pulau Penang memiliki beberapa tempat yang menawarkan kehidupan malam dan atmosfer pesta yang hidup, terutama di sekitar kota-kota besar seperti George Town dan Batu Ferringhi.",https://www.penang-insider.com/things-to-do-in-penang/
"Taman Nasional Khao Yai, Thailand",0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,1,https://bafageh.com/uploads/images/blog/879158_Screenshot-2023-06-08-161301.png,"Taman Nasional Khao Yai, tawaran alam Thailand yang megah, mempesona pengunjung dengan harta alamnya yang menakjubkan dan kehidupan liar yang melimpah.",https://www.agoda.com/id-id/travel-guides/thailand/khao-yai-thailand/exploring-khao-yai-national-park-a-guide-to-thailands-natural-wonder/?cid=-311
"Taman Nasional Kinabalu, Malaysia",0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,1,1,link,"Taman Nasional Kinabalu terkenal dengan Gunung Kinabalu, puncak tertinggi di Malaysia. Tempat ini menawarkan pengalaman alam yang memukau dengan berbagai jalur hiking, flora dan fauna endemik, serta pemandangan alam yang menakjubkan. Cocok bagi pencinta alam dan pendaki.",
"Ayutthaya, Thailand",1,0,0,1,0,1,1,0,1,0,1,1,1,1,0,1,1,http://upload.wikimedia.org/wikipedia/commons/f/f1/Ayutthaya_Thailand_2004.jpg,"Ayutthaya, kota megah dan bersejarah di Thailand, mempesona pengunjung dengan pesonanya yang warisan budayanya dan keindahan arsitektur klasiknya.",
"Pulau Langkawi, Malaysia",0,1,1,0,1,1,1,1,0,0,1,1,0,0,0,1,1,https://tse1.mm.bing.net/th?id=OIP.-fhfDvnI91bJxbvz38TDswHaEo&pid=Api&P=0&h=180,"Pulau Langkawi, surga tropis di Malaysia, menawarkan kombinasi memikat dari pantai pasir putih yang memukau, hutan hijau lebat, dan atmosfer yang tenang dan damai.",https://www.saltinourhair.com/malaysia/langkawi/
"Kepulauan Perhentian, Malaysia",0,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,link,Kepulauan Perhentian adalah sekelompok pulau kecil di Malaysia yang terkenal dengan pantai berpasir putih dan kehidupan bawah laut yang indah.,
"Kota Bharu, Malaysia",1,1,1,0,0,1,1,0,1,0,1,1,1,1,0,1,1,link,"Kota Bharu adalah kota budaya di Malaysia yang terkenal dengan warisan budaya, pasar malam, dan pantainya yang indah.",
"Pulau Tioman, Malaysia",0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,1,link,"Pulau Tioman adalah destinasi pantai yang populer di Malaysia. Dikenal dengan air laut yang jernih, pantai berpasir putih, dan terumbu karang yang indah, cocok untuk liburan santai dan snorkeling. Terdapat penginapan mulai dari hotel hingga hostel, serta kemungkinan untuk berkemah di beberapa area.",
"Hue, Vietnam",1,1,0,1,0,1,1,0,1,0,1,1,1,1,0,1,1,link,Hue adalah kota bersejarah di Vietnam yang terkenal dengan peninggalan kerajaan dan arsitektur yang megah.,
"Danau Toba, Indonesia",0,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,link,"Danau Toba adalah danau vulkanik terbesar di dunia yang terletak di Sumatera Utara, Indonesia, dengan pemandangan alam yang menakjubkan.",
"Nusa Dua, Indonesia",0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,1,1,link,"Nusa Dua adalah kawasan wisata mewah di Bali, Indonesia, yang terkenal dengan pantainya yang bersih dan resort bintang lima.",
"Taman Nasional Doi Inthanon, Thailand",0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,link,"Taman Nasional Doi Inthanon adalah taman nasional di Thailand yang memiliki puncak tertinggi di negara ini, dengan pemandangan alam yang luar biasa.",
"Patong Beach, Thailand",0,0,1,0,0,1,1,0,0,0,1,0,1,1,1,1,1,link,"Patong Beach adalah pantai terkenal di Phuket, Thailand, yang populer dengan kehidupan malamnya yang meriah dan berbagai aktivitas air.",
"Si Phan Don (4000 Islands), Laos",0,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,link,Si Phan Don atau dikenal dengan 4000 Islands adalah sekelompok pulau di selatan Laos yang terkenal dengan pemandangan alam yang indah dan kehidupan yang tenang.,
"Angkor Wat, Kamboja",0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,https://mmc.tirto.id/image/2022/06/07/istock-478677754_ratio-16x9.jpg,"Candi terbesar di dunia, dengan arsitektur Khmer yang megah.",https://angkorenterprise.gov.kh/
"Pulau Phi Phi, Thailand",0,0,1,0,0,1,1,1,0,0,1,0,1,0,1,1,0,https://awsimages.detik.net.id/community/media/visual/2021/02/04/dev-kepulauan-phi-phi-surga-dunia-asia-tenggara.jpeg?w=600&q=90,Pulau tropis terkenal dengan pantai indah dan snorkeling.,https://www.tourismthailand.org/Destinations/Provinces/Details/Phi-Phi-Island
"Pulau Bali, Indonesia",0,0,1,0,0,1,1,1,0,0,1,0,1,1,1,1,0,https://student-activity.binus.ac.id/himhi/wp-content/uploads/sites/42/2021/08/bali.png,"Pulau dengan pantai indah, budaya kaya, dan berbagai aktivitas.",https://www.balitourismboard.org/
"Ha Long Bay, Vietnam",0,0,1,1,0,1,1,0,0,0,1,0,1,1,0,1,0,"https://res.klook.com/images/fl_lossy.progressive,q_65/c_fill,w_1200,h_630/w_80,x_15,y_15,g_south_west,l_Klook_water_br_trans_yhcmh3/activities/qmgtdjekctlyucr8itqw/Pesan%20Halong%20Bay%20Day%20Tour%20dari%20Hanoi%2C%20Vietnam.jpg",Teluk dengan formasi batu kapur dramatis dan pelayaran perahu.,https://www.halongbay.com.vn/
"Kuala Lumpur, Malaysia",1,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,https://www.kayak.co.id/rimg/dimg/1e/f2/0916f4b2-city-4723-1628829b6c4.jpg?width=1366&height=768&xhint=1334&yhint=1020&crop=true,Ibu kota modern dengan gedung pencakar langit dan pusat belanja.,https://www.visitkl.gov.my/
"Bagan, Myanmar",0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,1,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTH0MsZlQ3j2fN66jf1rPqtn6T3qT64WYAc4uUyUk4ohw&s,Kota kuno dengan ribuan candi dan pagoda.,https://www.myanmartourism.org/destination/bagan/
Singapura,1,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR4wvmDTO-PShdcob8GkvTxfDbkCIe6cFlmgWoMCe6OtYU06uzFDsLguB-Jqqt4fdSbnis&usqp=CAU,Kota metropolitan maju dengan berbagai atraksi wisata dan kuliner.,https://www.visitsingapore.com/
"Borobudur, Indonesia",0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,https://fatek.umsu.ac.id/wp-content/uploads/2023/06/Candi-Borobudur-Makna-Yang-Terkandung-di-Dalamnya.jpg,"Candi Buddha terbesar di dunia, terkenal dengan reliefnya yang detail.",https://borobudurpark.com/
"Chiang Mai, Thailand",1,1,0,0,1,1,1,1,0,0,1,0,1,1,0,1,1,https://a.cdn-hotels.com/gdcs/production9/d679/184d7edf-5c3a-470c-8529-b0085d6d5b0e.jpg,Kota bersejarah dengan kuil kuno dan budaya Lanna.,https://www.tourismthailand.org/Destinations/Provinces/Chiang-Mai/151
"Hanoi, Vietnam",1,0,0,1,0,1,1,0,1,0,1,0,1,1,1,1,0,https://media.istockphoto.com/id/160179168/id/foto/pemandangan-kota-hanoi.jpg?s=612x612&w=0&k=20&c=b0jaFvcdYrf2xB-WgBwXrZ7ly8JoWUCysMXbp5CafhE=,Ibu kota dengan arsitektur kolonial dan budaya Vietnam yang kaya.,https://www.vietnam.travel/plan-your-trip/destinations/northern-vietnam/hanoi
"Taman Nasional Khao Sok, Thailand",0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,1,1,https://mediaim.expedia.com/destination/1/8ff5338c2307314b646d0b58a242bedb.jpg,"Taman nasional dengan hutan hujan, danau, dan aktivitas outdoor.",https://www.thainationalparks.com/khao-sok-national-park
"Gunung Bromo, Indonesia",0,1,0,0,1,1,1,1,0,0,1,1,1,1,0,1,1,https://media.istockphoto.com/id/530744884/id/foto/gunung-bromo.jpg?s=612x612&w=0&k=20&c=2JiStxxeqkvNJ5KKM6orkOlSvs82UKrwj_v2ucm3O90=,Gunung berapi aktif dengan pemandangan matahari terbit yang menakjubkan.,https://www.indonesia.travel/gb/en/destinations/java/bromo-tengger-semeru-national-park
"Siem Reap, Kamboja",1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/32/eb/53/bayon-temple.jpg?w=400&h=300&s=1,Kota gerbang menuju Angkor Wat dengan berbagai atraksi wisata.,https://www.tourismcambodia.com/
"Pulau Phuket, Thailand",0,0,1,0,0,1,1,0,0,0,1,0,1,1,1,1,0,"https://blue.kumparan.com/image/upload/fl_progressive,fl_lossy,c_fill,q_auto:best,w_640/v1600309607/bqilzmh4sueam0e0ucwo.jpg","Pulau populer dengan pantai, resor, dan kehidupan malam.",https://www.phuket.com/
"Vientiane, Laos",1,0,0,1,0,1,1,0,0,0,1,0,1,1,0,1,0,https://mediaim.expedia.com/destination/1/8ed0e3add2b58697f52b982622d24221.jpg,Ibu kota kecil dengan suasana tenang dan budaya Laos.,https://www.tourismlaos.org/show.php?Cont_ID=528
"Kota Kinabalu, Malaysia",1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,https://www.amazingborneo.com/img/sabah-tours/sabah-kota-kinabalu-city-north-borneo-cruises-night.jpg,Kota pesisir dengan akses ke Gunung Kinabalu dan taman laut.,https://www.sabahtourism.com/destination/kota-kinabalu/
"Luang Prabang, Laos",1,1,0,1,0,1,1,0,0,0,1,0,1,1,0,1,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTTPzC-LMVBZolMW2VL2IPdK_WEUqQJ5MDQ5V20Wocztw&s,Kota bersejarah dengan kuil-kuil dan arsitektur kolonial.,https://www.tourismlaos.org/show.php?Cont_ID=275
"Pulau Lombok, Indonesia",0,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,https://www.cimbniaga.co.id/content/dam/cimb/inspirasi/pantai-kuta-lombok.webp,Pulau dengan pantai cantik dan gunung Rinjani.,https://www.indonesia.travel/gb/en/destinations/bali-nusa-tenggara/lombok
"Kota Ho Chi Minh, Vietnam",1,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,https://asset.kompas.com/crops/CHv20qt668E35xDFLpaN9_cwAgg=/13x9:986x658/750x500/data/photo/2018/05/01/171875547.jpg,Kota besar dengan perpaduan arsitektur kolonial dan modern.,https://www.indonesia.travel/gb/en/destinations/bali-nusa-tenggara/gili-islands
"Gili Islands, Indonesia",0,0,1,0,0,1,1,1,0,0,1,0,1,0,1,1,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT-0PoT9acUS3E6qILTapm35z4zmQxvSsRSpFh7IdgS7Q&s,Kepulauan kecil dengan pantai pasir putih dan snorkeling.,https://www.vietnam.travel/plan-your-trip/destinations/southern-vietnam/ho-chi-minh-city
"Kota Yangon, Myanmar",1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,link,Ibukota yang bersejarah dengan pagoda-pagoda yang indah dan pasar-pasar yang ramai.,[URL Link]
"Taman Nasional Kinabatangan, Malaysia",0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,link,"Destinasi utama untuk melihat satwa liar seperti orangutan, gajah, dan proboscis monkey di habitat alaminya.",[URL Link]
"Taman Nasional Gunung Mulu, Malaysia",0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,link,Taman nasional yang terkenal dengan gua-gua yang spektakuler dan kehidupan gua yang unik.,[URL Link]
"Nha Trang, Vietnam",0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,link,"Kota pantai yang populer dengan pantai-pantai yang indah, aktivitas menyelam yang menarik, dan pulau-pulau kecil yang menakjubkan.",[URL Link]
"Krabi, Thailand",0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,link,"Destinasi liburan yang populer dengan karst-karst kapur yang menjulang, pantai-pantai yang indah, dan kehidupan malam yang meriah.",[URL Link]
"Kota Phuket, Thailand",1,0,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,link,"Kota yang bersemangat dengan kehidupan malam yang sibuk, pasar-pasar tradisional, dan pantai-pantai yang menakjubkan.",[URL Link]
"Kota Krabi, Thailand",1,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,link,Kota kecil yang tenang dengan pantai-pantai indah dan akses mudah ke pulau-pulau sekitarnya.,[URL Link]
"Taman Nasional Phong Nha-Ke Bang, Vietnam",0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,1,link,Rumah bagi gua-gua karst terbesar di dunia dengan stalaktit dan stalakmit yang mengagumkan.,[URL Link]
"Kota Danang, Vietnam",1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,link,"Kota pantai yang berkembang pesat dengan pantai-pantai yang indah, jembatan emas, dan patung-patung yang megah.",[URL Link]
"Kepulauan Tioman, Malaysia",0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,1,link,Destinasi liburan tropis yang tenang dengan pantai-pantai yang indah dan kehidupan bawah laut yang berwarna-warni.,[URL Link]
"Kepulauan Similan, Thailand",0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,link,Taman laut yang terkenal dengan kehidupan bawah laut yang luar biasa dan pantai-pantai yang indah.,[URL Link]
"Taman Nasional Tarutao, Thailand",0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,link,"Pulau-pulau yang belum tersentuh dengan pantai-pantai yang indah, hutan hujan, dan kehidupan laut yang kaya.",[URL Link]
"Taman Nasional Khao Yai, Thailand",0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,link,"Hutan hujan tropis yang luas dengan air terjun yang spektakuler, trekking, dan pengamatan satwa liar.",[URL Link]
